              Y               X               Z     Campo-Total

         -2.129          -1.590           0.000        13.23197
          0.027          -0.945           0.000       -28.21024
         -2.899          -2.723           0.000         8.38615
          0.790          -3.171           0.000         4.70324
         -1.497          -3.049           0.000        15.77953
          2.530           3.647           0.000         9.02378
          3.092           1.098           0.000        -4.79826
          1.534          -1.291           0.000       -52.88298
         -0.784           3.908           0.000        11.06742
          1.171           1.686           0.000        31.82506
          1.584           1.963           0.000        22.46367
          0.250           1.751           0.000        54.03775
          1.692           1.570           0.000        15.12605
         -3.505          -2.052           0.000         4.54674
          1.890          -0.275           0.000       -63.86761
         -1.144          -2.449           0.000        22.26819
          0.610           3.548           0.000        18.34920
          0.522          -1.085           0.000       -72.97420
          2.943          -3.602           0.000        -3.09533
         -1.256           1.325           0.000         3.69282
         -3.079           3.733           0.000         0.97472
          1.688           1.100           0.000        -0.75108
          2.863           3.716           0.000         7.36392
          1.713          -2.397           0.000       -11.88733
         -0.778           1.674           0.000        27.16061
         -2.927           0.480           0.000        -7.84342
          1.546          -1.233           0.000       -55.79149
          1.374          -1.108           0.000       -69.48687
          3.399           1.308           0.000        -2.41501
          1.042          -2.293           0.000        -8.25347
         -2.164          -3.062           0.000        12.11137
         -1.852           1.992           0.000         2.99657
          1.760           1.703           0.000        16.01307
          1.664          -3.165           0.000        -2.20186
          3.219           3.595           0.000         6.05857
         -3.954          -2.644           0.000         3.82124
         -2.072           3.971           0.000         4.35310
          1.169          -2.741           0.000        -2.28036
         -1.935          -0.064           0.000       -13.13568
         -1.122          -1.508           0.000        26.90676
         -0.953           1.409           0.000        16.21180
         -1.174          -3.268           0.000        15.14191
         -3.726           2.991           0.000        -1.16580
          2.369          -2.376           0.000       -12.31085
          1.345           3.482           0.000        16.44736
          2.831           0.883           0.000        -8.78445
          2.489           1.992           0.000         8.29164
          2.686           2.758           0.000         9.17117
          3.187           1.550           0.000         0.00924
         -1.417          -0.370           0.000       -11.97031
         -2.749          -1.128           0.000         3.81216
          3.802          -3.507           0.000        -3.43353
         -1.742          -0.394           0.000        -7.52005
         -3.819           2.208           0.000        -2.74110
          1.169           3.530           0.000        16.88625
          0.187           0.398           0.000      -174.55606
         -2.611           3.182           0.000         1.77041
         -0.269           0.918           0.000        55.83661
         -2.338          -3.738           0.000         8.88164
         -3.188           3.374           0.000         0.29651
         -2.987          -1.711           0.000         6.15243
         -0.979           1.043           0.000         1.78146
         -1.651           2.698           0.000         8.22726
          3.211           1.618           0.000         0.53136
          2.744           2.787           0.000         8.76308
         -3.261          -1.493           0.000         3.71278
         -0.790          -2.739           0.000        19.97242
         -3.128          -2.095           0.000         6.51547
