              Y               X               Z     Campo-Total

          0.354          -0.236           0.000        -0.53830
          0.495           0.012           0.000       -10.56149
          0.663           0.498           0.000        -1.14742
          0.534           0.755           0.000         2.73730
          0.977          -0.746           0.000        -0.14983
          0.200          -0.341           0.000         9.61025
          0.256          -0.560           0.000         4.88647
         -0.677           0.844           0.000        -0.21680
          0.181          -0.249           0.000        11.63076
          0.536          -0.933           0.000         1.03440
         -0.289           0.675           0.000         5.38278
          0.550          -0.489           0.000         0.39789
          0.596          -0.029           0.000        -6.57221
          0.694          -0.944           0.000         0.55535
         -0.021          -0.380           0.000        22.16334
         -0.880          -0.307           0.000         0.48349
         -0.630           0.856           0.000         0.09563
         -0.843          -0.983           0.000         1.23215
         -0.353           0.602           0.000         1.84501
          0.775           0.017           0.000        -3.90399
          0.047           0.302           0.000        -6.60309
          0.013           0.896           0.000         7.61619
          0.435           0.982           0.000         3.41728
         -0.913           0.206           0.000        -3.16777
          0.926          -0.927           0.000         0.11797
         -0.482           0.608           0.000        -1.48891
         -0.274          -0.949           0.000         3.09211
         -0.944          -0.737           0.000         1.11631
         -0.511           0.786           0.000         0.69486
         -0.861          -0.981           0.000         1.19051
          0.384           0.351           0.000        -8.19292
         -0.553          -0.136           0.000         2.20280
          0.827          -0.151           0.000        -2.54505
         -0.957           0.676           0.000        -1.41193
          0.378           0.594           0.000         4.85005
         -0.922          -0.186           0.000        -0.50409
         -0.486          -0.271           0.000         8.79378
         -0.817           0.259           0.000        -4.48517
         -0.263           0.882           0.000         4.67943
         -0.903           0.215           0.000        -3.29195
          0.582          -0.684           0.000         0.81782
         -0.735          -0.508           0.000         2.42728
          0.860           0.098           0.000        -3.06321
          0.070          -0.018           0.000       -23.65258
         -0.144           0.573           0.000        15.28199
          0.994          -0.817           0.000        -0.06838
          0.525           0.084           0.000       -10.52737
         -0.065           0.797           0.000         9.80113
         -0.086          -0.287           0.000        39.62870
          0.498           0.794           0.000         3.30307
         -0.458          -0.700           0.000         4.56215
          0.374          -0.805           0.000         2.06808
          0.805          -0.869           0.000         0.26238
         -0.942           0.826           0.000        -0.80097
          0.789           0.215           0.000        -3.54275
          0.987          -0.906           0.000         0.03039
          0.607          -0.394           0.000        -0.73622
         -0.610          -0.721           0.000         3.04615
          0.389           0.258           0.000       -15.71148
         -0.205          -0.163           0.000        70.84888
         -0.719           0.163           0.000        -6.24896
          0.663           0.305           0.000        -4.37646
          0.178          -0.894           0.000         2.80773
         -0.374          -0.211           0.000        19.79191
          0.469           0.652           0.000         3.19445
          0.693          -0.901           0.000         0.54674
          0.975          -0.910           0.000         0.04591
         -0.622          -0.962           0.000         1.96348
         -0.816           0.078           0.000        -3.57349
         -0.775           0.587           0.000        -2.51117
          0.845           0.278           0.000        -2.63888
         -0.418          -0.041           0.000         1.25814
         -0.418           0.853           0.000         2.25186
         -0.867          -0.629           0.000         1.45396
         -0.119           0.706           0.000        11.69577
          0.943          -0.670           0.000        -0.24963
         -0.742          -0.288           0.000         1.42354
          0.837           0.179           0.000        -3.15500
         -0.303          -0.602           0.000         8.08676
         -0.326          -0.301           0.000        21.29707
         -0.805          -0.795           0.000         1.63900
          0.728           0.271           0.000        -3.89060
          0.635          -0.761           0.000         0.65445
          0.080          -0.121           0.000        29.52850
          0.354           0.548           0.000         4.62471
         -0.971          -0.958           0.000         0.94370
         -0.290          -0.916           0.000         3.32631
         -0.669          -0.419           0.000         3.21747
          0.781           0.628           0.000        -0.04916
          0.004           0.471           0.000        27.00483
         -0.156           0.383           0.000        13.15957
         -0.226           0.793           0.000         6.49482
         -0.928          -0.303           0.000         0.24830
         -0.257          -0.281           0.000        30.92373
          0.538           0.023           0.000        -9.12523
          0.557           0.310           0.000        -6.22364
         -0.841           0.402           0.000        -3.62773
         -0.050          -0.206           0.000        60.70344
          0.696          -0.943           0.000         0.54908
          0.825           0.167           0.000        -3.32065
         -0.884          -0.150           0.000        -0.76070
         -0.129          -0.281           0.000        41.30650
         -0.580           0.769           0.000        -0.14098
         -0.673           0.648           0.000        -1.95812
          0.102          -0.183           0.000        24.98499
         -0.142          -0.503           0.000        13.79056
         -0.663           0.096           0.000        -6.79800
         -0.265          -0.518           0.000        11.48051
         -0.965           0.403           0.000        -2.52741
          0.662          -0.225           0.000        -2.75790
         -0.773          -0.282           0.000         1.04928
          0.779           0.776           0.000         0.74148
          0.686          -0.737           0.000         0.42706
         -0.605           0.295           0.000       -10.15289
         -0.708           0.599           0.000        -2.57225
         -0.920           0.518           0.000        -2.33174
         -0.589           0.364           0.000        -9.10966
          0.510           0.932           0.000         2.94319
          0.051           0.365           0.000        16.02697
         -0.293          -0.984           0.000         2.80456
          0.376          -0.717           0.000         2.33373
          0.477           0.934           0.000         3.24618
          0.860          -0.804           0.000         0.08832
         -0.693           0.714           0.000        -1.25694
         -0.168          -0.888           0.000         3.76982
         -0.957          -0.270           0.000        -0.02060
         -0.587           0.129           0.000       -10.70915
          0.727           0.110           0.000        -4.77703
          0.432           0.647           0.000         3.97696
         -0.767           0.841           0.000        -0.54400
          0.764           0.023           0.000        -4.06000
         -0.499           0.389           0.000       -11.00727
          0.910           0.533           0.000        -0.78920
          0.852          -0.109           0.000        -2.61068
          0.776          -0.985           0.000         0.38855
          0.595          -0.303           0.000        -1.74288
          0.248          -0.977           0.000         2.05921
          0.965          -0.400           0.000        -0.98907
          0.741          -0.301           0.000        -1.78278
          0.135          -0.401           0.000        12.19897
         -0.254           0.760           0.000         6.13155
          0.299          -0.654           0.000         3.44698
          0.248           0.912           0.000         5.98962
          0.744          -0.108           0.000        -3.47080
         -0.038          -0.214           0.000        56.04556
          0.533          -0.636           0.000         1.06011
         -0.783          -0.722           0.000         1.85627
          0.650           0.503           0.000        -1.04336
         -0.824          -0.400           0.000         1.33279
          0.701          -0.436           0.000        -0.73313
          0.418           0.042           0.000       -15.76714
         -0.943          -0.703           0.000         1.12007
          0.557           0.729           0.000         2.31719
          0.223          -0.059           0.000       -14.78237
          0.222          -0.833           0.000         2.96324
         -0.734          -0.028           0.000        -2.76835
         -0.732           0.896           0.000        -0.18063
         -0.599          -0.518           0.000         4.22785
          0.671           0.348           0.000        -3.58957
         -0.146          -0.310           0.000        34.64149
          0.127          -0.059           0.000        -6.76354
          0.331           0.050           0.000       -24.23590
         -0.610          -0.468           0.000         4.23488
         -0.755           0.936           0.000        -0.10537
         -0.474           0.508           0.000        -4.83962
         -0.379           0.839           0.000         2.87088
          0.836           0.312           0.000        -2.49741
         -0.516           0.551           0.000        -3.50331
          0.496          -0.539           0.000         1.14028
          0.044           0.218           0.000       -94.77626
         -0.131          -0.599           0.000         9.50265
          0.010           0.781           0.000        11.03024
         -0.836          -0.938           0.000         1.31505
          0.827           0.435           0.000        -1.59745
          0.198          -0.380           0.000         9.23412
         -0.744          -0.847           0.000         1.81193
          0.871           0.537           0.000        -0.78488
          0.140          -0.419           0.000        11.31202
         -0.432          -0.966           0.000         2.58088
          0.424           0.071           0.000       -16.34639
          0.221           0.885           0.000         6.73965
         -0.764          -0.207           0.000         0.30669
          0.002          -0.123           0.000        73.18393
          0.078           0.569           0.000        20.08067
         -0.127           0.792           0.000         8.87882
         -0.190           0.207           0.000      -163.47615
         -0.089           0.760           0.000        10.60814
         -0.216          -0.656           0.000         7.49327
          0.860          -0.086           0.000        -2.65795
         -0.073           0.551           0.000        20.92418
         -0.275           0.721           0.000         5.79220
          0.506          -0.068           0.000        -7.73843
          0.669           0.185           0.000        -5.65022
          0.575          -0.569           0.000         0.58251
         -0.702           0.855           0.000        -0.25990
         -0.907          -0.100           0.000        -1.20413
         -0.886           0.140           0.000        -3.22165
          0.698           0.121           0.000        -5.29466
         -0.576           0.083           0.000        -9.55075
          0.449           0.357           0.000        -6.54153
         -0.872          -0.170           0.000        -0.56038
          0.607           0.989           0.000         2.06178
