              Y               X               Z     Campo-Total

          0.354          -0.236           0.000        -7.50731
          0.495           0.012           0.000        -6.74583
          0.663           0.498           0.000        -3.44992
          0.534           0.755           0.000        -3.03853
          0.977          -0.746           0.000        -0.85093
          0.200          -0.341           0.000        -8.17689
          0.256          -0.560           0.000        -3.80990
         -0.677           0.844           0.000        -2.33555
          0.181          -0.249           0.000       -11.26453
          0.536          -0.933           0.000        -1.12121
         -0.289           0.675           0.000        -6.67019
          0.550          -0.489           0.000        -2.75336
          0.596          -0.029           0.000        -4.97151
          0.694          -0.944           0.000        -0.92040
         -0.021          -0.380           0.000        -9.46922
         -0.880          -0.307           0.000        -2.31521
         -0.630           0.856           0.000        -2.47879
         -0.843          -0.983           0.000        -0.80894
         -0.353           0.602           0.000        -7.59641
          0.775           0.017           0.000        -3.08302
          0.047           0.302           0.000        61.36537
          0.013           0.896           0.000        -3.91245
          0.435           0.982           0.000        -2.20686
         -0.913           0.206           0.000        -2.90606
          0.926          -0.927           0.000        -0.70970
         -0.482           0.608           0.000        -5.90955
         -0.274          -0.949           0.000        -1.45329
         -0.944          -0.737           0.000        -1.05522
         -0.511           0.786           0.000        -3.58585
         -0.861          -0.981           0.000        -0.79603
          0.384           0.351           0.000        -6.09785
         -0.553          -0.136           0.000        -8.24755
          0.827          -0.151           0.000        -2.39133
         -0.957           0.676           0.000        -1.73358
          0.378           0.594           0.000        -5.27817
         -0.922          -0.186           0.000        -2.39322
         -0.486          -0.271           0.000        -7.42395
         -0.817           0.259           0.000        -3.83758
         -0.263           0.882           0.000        -3.79785
         -0.903           0.215           0.000        -2.98907
          0.582          -0.684           0.000        -1.74318
         -0.735          -0.508           0.000        -2.30125
          0.860           0.098           0.000        -2.50460
          0.070          -0.018           0.000        14.98004
         -0.144           0.573           0.000        -8.51215
          0.994          -0.817           0.000        -0.75398
          0.525           0.084           0.000        -6.30161
         -0.065           0.797           0.000        -5.19917
         -0.086          -0.287           0.000       -14.42530
          0.498           0.794           0.000        -3.00313
         -0.458          -0.700           0.000        -2.33870
          0.374          -0.805           0.000        -1.74996
          0.805          -0.869           0.000        -0.90806
         -0.942           0.826           0.000        -1.45751
          0.789           0.215           0.000        -3.03071
          0.987          -0.906           0.000        -0.67392
          0.607          -0.394           0.000        -2.94106
         -0.610          -0.721           0.000        -1.81727
          0.389           0.258           0.000        -6.45360
         -0.205          -0.163           0.000       -22.66592
         -0.719           0.163           0.000        -5.57757
          0.663           0.305           0.000        -4.10703
          0.178          -0.894           0.000        -1.65095
         -0.374          -0.211           0.000       -12.58704
          0.469           0.652           0.000        -4.14316
          0.693          -0.901           0.000        -0.99404
          0.975          -0.910           0.000        -0.68148
         -0.622          -0.962           0.000        -1.07525
         -0.816           0.078           0.000        -3.95807
         -0.775           0.587           0.000        -3.02243
          0.845           0.278           0.000        -2.56243
