              Y               X               Z     Campo-Total

          0.563          -3.828          -0.100       -87.63711
         14.605         -12.825          -0.100        -1.33888
         -4.777          10.242          -0.100       -12.22591
         -6.092          11.137          -0.100        -7.98470
         14.744           0.069          -0.100        -1.66991
        -10.294         -13.022          -0.100        -2.27083
         11.893           1.270          -0.100        -2.93219
         -7.985          -0.527          -0.100       379.84492
          2.717          14.769          -0.100        -2.34342
          9.462          -3.486          -0.100        -7.26731
          7.541         -10.310          -0.100       -36.01573
         -2.195           5.357          -0.100      -136.14213
         11.695           4.344          -0.100        -3.42594
         -8.144          -2.560          -0.100       -45.23564
         10.793           9.000          -0.100        -4.82297
         -1.389          -6.208          -0.100      -168.08090
         -4.033         -12.979          -0.100        -4.23438
         -2.967           8.884          -0.100       -52.31209
         -2.960          -7.278          -0.100       -46.60835
         10.261          13.332          -0.100        -1.83054
         -5.959          -3.845          -0.100       -58.78186
         11.181         -14.795          -0.100        -1.87426
         14.041           9.026          -0.100        -1.57010
          0.550          12.806          -0.100        -4.01312
          4.519           0.467          -0.100       -23.37258
          2.881          -3.111          -0.100       -34.85940
         -8.417          -7.629          -0.100       -66.57823
         -3.216           0.587          -0.100       337.92788
        -12.602          -7.392          -0.100        -4.26486
          2.978           9.620          -0.100       -20.16116
        -13.565           2.217          -0.100        -8.06710
        -12.015          -3.264          -0.100        -8.51067
         14.585          -2.628          -0.100        -1.85090
         -4.253         -13.251          -0.100        -3.87677
          5.801          11.657          -0.100        -5.99997
         -9.308          12.951          -0.100        -3.26272
         10.583          -6.619          -0.100        -9.68702
        -12.761         -14.689          -0.100        -1.21700
          0.383          13.223          -0.100        -3.57577
         -6.957         -10.115          -0.100       -10.94372
         -8.207          -9.268          -0.100       -15.11353
          5.465          -7.012          -0.100       178.55959
         14.588          13.784          -0.100        -0.83227
        -12.074          10.329          -0.100        -4.16794
        -14.481          -1.303          -0.100        -4.86541
         14.065           4.486          -0.100        -1.84930
         -6.029           5.705          -0.100       -83.94898
         12.520          13.669          -0.100        -1.16886
         -0.648           7.914          -0.100       -20.46384
          7.364          13.060          -0.100        -3.03249
         12.388          -9.428          -0.100        -3.83481
        -14.652           3.462          -0.100        -5.17757
         13.433           8.628          -0.100        -1.90032
        -10.095           3.531          -0.100       -64.00163
         11.564           0.153          -0.100        -3.15777
        -11.249          14.001          -0.100        -1.97337
        -12.175           1.053          -0.100       -14.86967
         13.675          10.272          -0.100        -1.51422
        -11.151          14.047          -0.100        -1.97645
        -13.467          -9.032          -0.100        -2.66676
         -0.688           0.349          -0.100       208.44278
          1.843           5.136          -0.100       -44.23559
          6.649          14.219          -0.100        -2.27870
         12.797           2.683          -0.100        -2.44068
         10.737           8.549          -0.100        -5.38617
         -8.438          -8.306          -0.100       -31.06340
         10.160          -9.185          -0.100       -13.32737
         11.622          -0.879          -0.100        -3.21209
         14.127          11.588          -0.100        -1.17550
        -12.393           8.983          -0.100        -5.23419
          4.948          11.409          -0.100        -6.92799
         -9.094          -8.423          -0.100       -16.91260
         -5.644         -10.296          -0.100       -10.19654
         -6.999           8.964          -0.100       -49.36997
          4.469         -14.221          -0.100        -4.89318
        -12.477           8.310          -0.100        -5.87958
        -10.477           5.953          -0.100       -24.00304
          3.482          10.821          -0.100        -9.32084
        -12.596          14.246          -0.100        -1.58809
         11.325           1.123          -0.100        -3.32190
          0.688         -13.923          -0.100        -4.76585
        -11.215         -12.697          -0.100        -2.12328
          3.274          10.315          -0.100       -12.38634
          8.351          -5.386          -0.100       -21.39202
         13.522           9.381          -0.100        -1.73174
         13.008          -8.270          -0.100        -3.29735
         -9.621          12.037          -0.100        -4.21309
         -6.620         -12.434          -0.100        -4.12808
          9.206           6.887          -0.100       -17.50905
          8.699          -7.996          -0.100        32.57870
        -11.187          -1.884          -0.100       -15.12838
         -2.807           6.948          -0.100       242.47150
          8.704          10.965          -0.100        -5.74067
         -3.477          12.058          -0.100        -5.44522
         -9.866          13.330          -0.100        -2.74479
          1.340           3.515          -0.100       -72.29144
          5.496         -11.223          -0.100       -22.43389
          2.587           8.272          -0.100       -40.50330
          6.762          -0.758          -0.100        -9.70540
        -12.104          13.028          -0.100        -2.17885
        -11.971           1.927          -0.100       -17.29786
         -7.695           0.114          -0.100       307.43477
         -6.775          -3.874          -0.100       -58.10143
         -0.535          -5.552          -0.100       214.06192
         -5.394          13.492          -0.100        -3.44586
          0.471          -6.766          -0.100       230.91107
          2.687           2.421          -0.100       -48.30335
          8.446          -6.675          -0.100       -49.56719
         10.252          14.798          -0.100        -1.33360
        -12.378         -13.941          -0.100        -1.43747
          5.735           0.746          -0.100       -15.29216
