              Y               X               Z     Campo-Total

          0.563          -3.828          -0.100       -75.82594
         14.605         -12.825          -0.100        -1.20639
         -4.777          10.242          -0.100        -6.46119
         -6.092          11.137          -0.100        -5.63601
         14.744           0.069          -0.100        -1.36150
        -10.294         -13.022          -0.100        -1.99223
         11.893           1.270          -0.100        -2.36742
         -7.985          -0.527          -0.100       383.96719
          2.717          14.769          -0.100        -1.73757
          9.462          -3.486          -0.100        -6.47610
          7.541         -10.310          -0.100       -35.59744
         -2.195           5.357          -0.100       -13.94389
         11.695           4.344          -0.100        -2.87270
         -8.144          -2.560          -0.100       -42.10676
         10.793           9.000          -0.100        -4.36069
         -1.389          -6.208          -0.100      -163.79719
         -4.033         -12.979          -0.100        -3.78552
         -2.967           8.884          -0.100        -6.87244
         -2.960          -7.278          -0.100       -44.04913
         10.261          13.332          -0.100        -1.52731
         -5.959          -3.845          -0.100       -52.24779
         11.181         -14.795          -0.100        -1.72262
         14.041           9.026          -0.100        -1.30648
          0.550          12.806          -0.100        -2.74958
          4.519           0.467          -0.100       -15.68443
          2.881          -3.111          -0.100       -28.19506
         -8.417          -7.629          -0.100       -65.59561
         -3.216           0.587          -0.100       385.93993
        -12.602          -7.392          -0.100        -3.79636
          2.978           9.620          -0.100       -18.08738
        -13.565           2.217          -0.100        -7.29987
        -12.015          -3.264          -0.100        -7.64856
         14.585          -2.628          -0.100        -1.55919
         -4.253         -13.251          -0.100        -3.45694
          5.801          11.657          -0.100        -5.23466
         -9.308          12.951          -0.100        -2.55455
         10.583          -6.619          -0.100        -9.24652
        -12.761         -14.689          -0.100        -1.04272
          0.383          13.223          -0.100        -2.43825
         -6.957         -10.115          -0.100       -10.25152
         -8.207          -9.268          -0.100       -14.40423
          5.465          -7.012          -0.100       179.64521
         14.588          13.784          -0.100        -0.66702
        -12.074          10.329          -0.100        -3.52404
        -14.481          -1.303          -0.100        -4.30560
         14.065           4.486          -0.100        -1.51135
         -6.029           5.705          -0.100       -68.87911
         12.520          13.669          -0.100        -0.95236
         -0.648           7.914          -0.100        -8.81097
          7.364          13.060          -0.100        -2.56063
         12.388          -9.428          -0.100        -3.59197
        -14.652           3.462          -0.100        -4.59030
         13.433           8.628          -0.100        -1.60034
        -10.095           3.531          -0.100       -61.86581
         11.564           0.153          -0.100        -2.55738
        -11.249          14.001          -0.100        -1.54657
        -12.175           1.053          -0.100       -13.78354
         13.675          10.272          -0.100        -1.26097
        -11.151          14.047          -0.100        -1.54663
        -13.467          -9.032          -0.100        -2.33611
         -0.688           0.349          -0.100       -20.90981
          1.843           5.136          -0.100       -30.08084
          6.649          14.219          -0.100        -1.84924
         12.797           2.683          -0.100        -1.98315
         10.737           8.549          -0.100        -4.89658
         -8.438          -8.306          -0.100       -30.22068
         10.160          -9.185          -0.100       -12.98466
         11.622          -0.879          -0.100        -2.63920
         14.127          11.588          -0.100        -0.96327
        -12.393           8.983          -0.100        -4.52419
          4.948          11.409          -0.100        -6.00053
         -9.094          -8.423          -0.100       -16.17775
         -5.644         -10.296          -0.100        -9.43535
         -6.999           8.964          -0.100       -45.62387
          4.469         -14.221          -0.100        -4.60431
        -12.477           8.310          -0.100        -5.13017
        -10.477           5.953          -0.100       -22.35103
          3.482          10.821          -0.100        -7.94750
        -12.596          14.246          -0.100        -1.25052
         11.325           1.123          -0.100        -2.67639
          0.688         -13.923          -0.100        -4.39494
        -11.215         -12.697          -0.100        -1.85700
          3.274          10.315          -0.100       -10.76365
          8.351          -5.386          -0.100       -20.59003
         13.522           9.381          -0.100        -1.45290
         13.008          -8.270          -0.100        -3.04716
         -9.621          12.037          -0.100        -3.40618
         -6.620         -12.434          -0.100        -3.69583
          9.206           6.887          -0.100       -16.70174
          8.699          -7.996          -0.100        33.08631
        -11.187          -1.884          -0.100       -13.91162
         -2.807           6.948          -0.100       -10.77919
          8.704          10.965          -0.100        -5.21454
         -3.477          12.058          -0.100        -3.14715
         -9.866          13.330          -0.100        -2.14772
          1.340           3.515          -0.100       -22.25633
          5.496         -11.223          -0.100       -21.97886
          2.587           8.272          -0.100       -37.15061
          6.762          -0.758          -0.100        -7.35266
        -12.104          13.028          -0.100        -1.74419
        -11.971           1.927          -0.100       -16.12612
         -7.695           0.114          -0.100       312.31593
         -6.775          -3.874          -0.100       -53.77871
         -0.535          -5.552          -0.100       219.66506
         -5.394          13.492          -0.100        -2.33618
          0.471          -6.766          -0.100       233.70538
          2.687           2.421          -0.100       -12.20105
          8.446          -6.675          -0.100       -48.91840
         10.252          14.798          -0.100        -1.08073
        -12.378         -13.941          -0.100        -1.23844
          5.735           0.746          -0.100       -11.19294
         14.962          -9.751          -0.100        -1.51149
         -2.650           4.182          -0.100       -22.30493
        -12.503          10.971          -0.100        -2.68149
        -10.460          -8.033          -0.100        -8.07031
         12.177          11.834          -0.100        -1.43366
         -1.107          10.104          -0.100        -4.97280
         -2.680          -6.935          -0.100       -66.29975
          5.245          11.594          -0.100        -5.46010
         12.597          -7.447          -0.100        -3.61683
        -10.373          12.282          -0.100        -2.79086
          0.326          -1.280          -0.100       -18.50415
        -10.460          -8.770          -0.100        -6.43745
         -3.674           8.144          -0.100        -9.61299
          2.728         -14.404          -0.100        -4.21860
         12.866          -1.269          -0.100        -2.07835
        -14.124           7.727          -0.100        -3.38887
          2.173         -14.438          -0.100        -4.07481
         -1.945           0.300          -0.100       -48.74099
        -11.850           4.823          -0.100       -13.53609
         -7.339          14.132          -0.100        -1.97002
         -6.492          10.235          -0.100       -10.12539
         -8.434          11.703          -0.100        -4.52106
         -0.335          -3.366          -0.100       -58.94039
         -7.610           5.788          -0.100      -117.02779
          7.973           8.460          -0.100       169.73752
         -7.719          12.901          -0.100        -2.87180
         -9.164           3.411          -0.100      -139.96822
         -6.695           1.158          -0.100       254.49181
          1.127          -9.325          -0.100       -52.79589
        -13.886         -10.509          -0.100        -1.70084
          3.355          -5.238          -0.100        85.29005
          8.672         -10.714          -0.100       -15.43859
        -10.693         -12.723          -0.100        -2.00665
         -6.770          -4.268          -0.100       -87.93025
         -5.456         -13.614          -0.100        -2.87392
         -8.536          -1.414          -0.100       -92.52958
         -8.279           4.768          -0.100       339.56140
         10.563          14.271          -0.100        -1.16180
         12.127         -12.751          -0.100        -2.18960
          6.548          14.600          -0.100        -1.66448
         -0.582         -11.557          -0.100        -8.74667
         -9.597          -6.758          -0.100       -21.96790
         11.339          14.381          -0.100        -1.00967
         12.487          -8.763          -0.100        -3.66044
         -6.699          -6.147          -0.100       139.15687
          6.640           1.582          -0.100        -9.95155
          0.324           0.705          -0.100       -15.60221
          4.612           0.437          -0.100       -14.96872
          7.850          -0.420          -0.100        -5.75870
         10.574           7.721          -0.100        -5.91323
          9.832          11.152          -0.100        -3.33916
          1.427          10.760          -0.100        -6.23237
        -10.298         -11.353          -0.100        -3.03436
         -7.263         -11.741          -0.100        -4.42979
         -9.356          10.186          -0.100        -9.01076
         -9.861         -10.601          -0.100        -4.22998
         -8.257          -5.772          -0.100       115.27722
          7.830          -8.098          -0.100       286.81972
          6.727         -13.202          -0.100        -6.16740
         14.651           1.429          -0.100        -1.34815
          4.837          -5.175          -0.100      -108.47801
          0.378         -13.949          -0.100        -4.24506
          4.087           3.998          -0.100       291.61536
        -12.200         -12.320          -0.100        -1.70199
        -13.644          10.114          -0.100        -2.48916
         10.279           5.063          -0.100        -5.31109
         -5.212         -11.162          -0.100        -6.35260
        -13.656           8.230          -0.100        -3.56867
          5.464          10.005          -0.100       -13.90434
         11.277           7.026          -0.100        -3.99458
        -12.899          -5.394          -0.100        -4.41689
          5.387           5.856          -0.100       160.06678
         -1.566         -11.549          -0.100        -7.49062
         -2.086           0.415          -0.100       -56.60833
        -11.959         -11.275          -0.100        -2.18843
        -10.623           0.604          -0.100       -35.57883
         -0.561           7.115          -0.100       -10.13625
          2.330         -12.359          -0.100        -9.56146
         -5.186          -2.394          -0.100       -46.08594
          4.407           9.232          -0.100       -25.39032
          9.951           3.372          -0.100        -4.55070
          0.863           0.091          -0.100       -14.77981
        -12.081           8.292          -0.100        -5.95573
        -13.814          -8.975          -0.100        -2.17143
          8.845          10.422          -0.100        -6.82337
          0.762           8.570          -0.100       -14.78078
          0.709         -10.048          -0.100       -25.26345
        -10.760          -3.881          -0.100       -11.02082
         -3.759           5.665          -0.100       -20.65499
         14.963          10.475          -0.100        -0.91811
         -1.810          14.769          -0.100        -1.63963
        -14.145          -1.493          -0.100        -4.71592
         -6.586         -11.993          -0.100        -4.30221
         -6.720          11.953          -0.100        -4.12843
         11.835          11.120          -0.100        -1.80992
         -5.951           3.800          -0.100      -159.12861
          9.849           8.785          -0.100        -8.53151
          3.158          11.443          -0.100        -5.59801
         -4.109          -8.134          -0.100       -25.00861
