              Y               X               Z     Campo-Total

          0.563          -3.828          -0.100        79.12755
         14.605         -12.825          -0.100        -0.54560
         -4.777          10.242          -0.100        13.23603
         -6.092          11.137          -0.100        10.62773
         14.744           0.069          -0.100        -0.49775
        -10.294         -13.022          -0.100         2.74777
         11.893           1.270          -0.100        -0.30299
         -7.985          -0.527          -0.100       -69.23838
          2.717          14.769          -0.100         3.45065
          9.462          -3.486          -0.100         2.81975
          7.541         -10.310          -0.100        37.05165
         -2.195           5.357          -0.100        92.24615
         11.695           4.344          -0.100        -1.23517
         -8.144          -2.560          -0.100        67.91814
         10.793           9.000          -0.100        -0.96472
         -1.389          -6.208          -0.100       113.94696
         -4.033         -12.979          -0.100         5.37437
         -2.967           8.884          -0.100        60.43961
         -2.960          -7.278          -0.100        46.12065
         10.261          13.332          -0.100         1.93892
         -5.959          -3.845          -0.100        43.91078
         11.181         -14.795          -0.100         0.74006
         14.041           9.026          -0.100        -0.36102
          0.550          12.806          -0.100         4.91015
          4.519           0.467          -0.100        11.59435
          2.881          -3.111          -0.100        31.91151
         -8.417          -7.629          -0.100        32.19278
         -3.216           0.587          -0.100      -239.85334
        -12.602          -7.392          -0.100         0.67648
          2.978           9.620          -0.100        25.17535
        -13.565           2.217          -0.100        -5.76339
        -12.015          -3.264          -0.100         1.98599
         14.585          -2.628          -0.100        -0.64214
         -4.253         -13.251          -0.100         5.04455
          5.801          11.657          -0.100         8.41527
         -9.308          12.951          -0.100         3.83082
         10.583          -6.619          -0.100        -4.14514
        -12.761         -14.689          -0.100         1.30587
          0.383          13.223          -0.100         4.55335
         -6.957         -10.115          -0.100        16.63234
         -8.207          -9.268          -0.100        20.48432
          5.465          -7.012          -0.100      -136.04874
         14.588          13.784          -0.100         0.41660
        -12.074          10.329          -0.100         0.91611
        -14.481          -1.303          -0.100        -1.70119
         14.065           4.486          -0.100        -0.77536
         -6.029           5.705          -0.100        56.60906
         12.520          13.669          -0.100         0.85355
         -0.648           7.914          -0.100         6.75664
          7.364          13.060          -0.100         4.38859
         12.388          -9.428          -0.100        -3.02866
