              Y               X               Z     Campo-Total

          8.768           4.779          -0.150       814.61764
          8.768           4.779          -0.150       814.61764
          8.768           4.779          -0.150       814.61764
          8.768           4.779          -0.150       814.61764
          8.768           4.779          -0.150       814.61764
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.758           4.779          -0.150       834.05616
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.748           4.779          -0.150       852.91224
          8.738           4.779          -0.150       871.13937
          8.738           4.779          -0.150       871.13937
          8.738           4.779          -0.150       871.13937
          8.738           4.779          -0.150       871.13937
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.738           4.789          -0.150       870.59102
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.728           4.789          -0.150       888.66961
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.718           4.789          -0.150       906.07989
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
          8.708           4.789          -0.150       922.80849
