              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz

          8.768           4.779          -0.150         2.26856        20.59584       -63.96202       -27.25399       -40.57606        24.98543
          8.768           4.779          -0.150         2.26856        20.59584       -63.96202       -27.25399       -40.57606        24.98543
          8.768           4.779          -0.150         2.26856        20.59584       -63.96202       -27.25399       -40.57606        24.98543
          8.768           4.779          -0.150         2.26856        20.59584       -63.96202       -27.25399       -40.57606        24.98543
          8.768           4.779          -0.150         2.26856        20.59584       -63.96202       -27.25399       -40.57606        24.98543
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.758           4.779          -0.150         1.49065        19.59213       -65.38749       -29.10474       -39.67140        27.61409
          8.748           4.779          -0.150         0.68475        18.55678       -66.71282       -30.87738       -38.60854        30.19263
          8.748           4.779          -0.150         0.68475        18.55678       -66.71282       -30.87738       -38.60854        30.19263
