              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz

          0.563          -3.828          -0.100        12.01161        -0.77255        -3.99127        -0.31800        -1.12253       -11.69360
         14.605         -12.825          -0.100        -0.02271        -0.22854         0.00719         0.20131        -0.01172        -0.17861
         -4.777          10.242          -0.100         1.95132        -0.23303        -0.26978        -0.32037         0.01446        -1.63095
         -6.092          11.137          -0.100         1.51840        -0.03310        -0.15906        -0.45323        -0.01060        -1.06516
         14.744           0.069          -0.100        -0.07573         0.03838        -0.00096         0.29849        -0.01441        -0.22277
        -10.294         -13.022          -0.100         0.30048         0.33872         0.01962         0.00245         0.01245        -0.30293
         11.893           1.270          -0.100        -0.03953         0.00215         0.00207         0.43068        -0.03030        -0.39115
         -7.985          -0.527          -0.100       -13.20598         0.71852        14.18395       -37.37872        18.41506        50.58469
          2.717          14.769          -0.100         0.46243         0.09996        -0.02745        -0.14981        -0.00192        -0.31261
          9.462          -3.486          -0.100         0.27027         0.61170        -0.06456         0.69919        -0.09487        -0.96946
          7.541         -10.310          -0.100         5.72275        -3.92097         1.78704        -0.91767        -0.63145        -4.80508
         -2.195           5.357          -0.100        18.15884         5.28592       -33.24983         0.20958       -12.54979       -18.36842
         11.695           4.344          -0.100        -0.15656        -0.05285         0.00924         0.61358        -0.04947        -0.45702
         -8.144          -2.560          -0.100         8.42620         2.62299         2.07070        -2.39096         0.77862        -6.03523
         10.793           9.000          -0.100        -0.27095         0.66221        -0.04707         0.91433        -0.12081        -0.64339
         -1.389          -6.208          -0.100        11.59663        -4.77582        27.37855        10.95036        -3.44103       -22.54699
         -4.033         -12.979          -0.100         0.68337         0.24059         0.04695        -0.11850         0.01428        -0.56487
         -2.967           8.884          -0.100         7.69274         6.70522        -4.04515        -0.71034        -2.80875        -6.98239
         -2.960          -7.278          -0.100         5.48454         2.51455         1.82900         0.73362         0.58580        -6.21816
         10.261          13.332          -0.100         0.19965         0.32422        -0.02061         0.04455        -0.01496        -0.24419
         -5.959          -3.845          -0.100         5.83334         1.92623        -0.74079         2.00829         0.44424        -7.84162
         11.181         -14.795          -0.100         0.18174        -0.34932         0.01727         0.06828        -0.01398        -0.25003
         14.041           9.026          -0.100        -0.09070         0.18944        -0.00622         0.30015        -0.01833        -0.20945
          0.550          12.806          -0.100         0.67968         0.06269        -0.05264        -0.14432         0.00206        -0.53535
          4.519           0.467          -0.100         1.88506        -1.53080         0.52333         1.23293        -0.53407        -3.11799
          2.881          -3.111          -0.100         4.67326        -0.39928        -0.63374        -0.02293        -0.33633        -4.65033
         -8.417          -7.629          -0.100         1.61452         9.62130         3.15195         7.27184         4.42051        -8.88635
         -3.216           0.587          -0.100       -28.12818       -10.51927       -12.71251       -16.65100       -41.33691        44.77918
