              Y               X               Z     Campo-Total

          0.563          -3.828          -0.100        68.12209
         14.605         -12.825          -0.100        -0.54301
         -4.777          10.242          -0.100         7.12086
         -6.092          11.137          -0.100         8.71146
         14.744           0.069          -0.100        -0.20167
        -10.294         -13.022          -0.100         2.35892
         11.893           1.270          -0.100         0.21688
         -7.985          -0.527          -0.100       -67.94655
          2.717          14.769          -0.100         2.46833
          9.462          -3.486          -0.100         3.35140
          7.541         -10.310          -0.100        36.83927
         -2.195           5.357          -0.100         4.32937
         11.695           4.344          -0.100        -0.86502
         -8.144          -2.560          -0.100        68.47192
         10.793           9.000          -0.100        -0.98592
         -1.389          -6.208          -0.100       106.38170
         -4.033         -12.979          -0.100         4.50722
         -2.967           8.884          -0.100         4.05878
         -2.960          -7.278          -0.100        41.26300
         10.261          13.332          -0.100         1.73330
         -5.959          -3.845          -0.100        40.08869
         11.181         -14.795          -0.100         0.66424
         14.041           9.026          -0.100        -0.30926
          0.550          12.806          -0.100         2.81453
          4.519           0.467          -0.100        17.78965
          2.881          -3.111          -0.100        30.85468
         -8.417          -7.629          -0.100        31.16200
         -3.216           0.587          -0.100      -265.66337
        -12.602          -7.392          -0.100         0.48167
          2.978           9.620          -0.100        23.00826
        -13.565           2.217          -0.100        -5.14954
        -12.015          -3.264          -0.100         2.17301
         14.585          -2.628          -0.100        -0.37722
         -4.253         -13.251          -0.100         4.23522
          5.801          11.657          -0.100         7.66084
         -9.308          12.951          -0.100         3.50436
         10.583          -6.619          -0.100        -3.98613
        -12.761         -14.689          -0.100         1.08655
          0.383          13.223          -0.100         2.60788
         -6.957         -10.115          -0.100        15.52900
         -8.207          -9.268          -0.100        19.54761
          5.465          -7.012          -0.100      -136.47044
         14.588          13.784          -0.100         0.36163
        -12.074          10.329          -0.100         1.13222
        -14.481          -1.303          -0.100        -1.38278
         14.065           4.486          -0.100        -0.53215
         -6.029           5.705          -0.100        61.63988
         12.520          13.669          -0.100         0.74613
         -0.648           7.914          -0.100        -1.06676
          7.364          13.060          -0.100         3.93249
         12.388          -9.428          -0.100        -2.98481
        -14.652           3.462          -0.100        -3.51552
         13.433           8.628          -0.100        -0.49626
        -10.095           3.531          -0.100       -32.23846
         11.564           0.153          -0.100         0.55768
        -11.249          14.001          -0.100         1.63622
        -12.175           1.053          -0.100        -6.99194
         13.675          10.272          -0.100        -0.00570
        -11.151          14.047          -0.100         1.66882
        -13.467          -9.032          -0.100         0.76399
         -0.688           0.349          -0.100        -3.99315
          1.843           5.136          -0.100         6.58045
          6.649          14.219          -0.100         2.90667
         12.797           2.683          -0.100        -0.26649
         10.737           8.549          -0.100        -1.99056
         -8.438          -8.306          -0.100        28.92262
         10.160          -9.185          -0.100        -9.78406
         11.622          -0.879          -0.100         0.64805
         14.127          11.588          -0.100         0.21712
        -12.393           8.983          -0.100         0.03334
          4.948          11.409          -0.100         8.43696
         -9.094          -8.423          -0.100        10.99365
         -5.644         -10.296          -0.100        11.47285
         -6.999           8.964          -0.100        68.76121
          4.469         -14.221          -0.100         7.13436
        -12.477           8.310          -0.100        -0.52121
        -10.477           5.953          -0.100         0.53502
          3.482          10.821          -0.100        10.51887
        -12.596          14.246          -0.100         1.05361
         11.325           1.123          -0.100         0.44629
          0.688         -13.923          -0.100         6.43233
        -11.215         -12.697          -0.100         1.95588
          3.274          10.315          -0.100        13.97875
          8.351          -5.386          -0.100        12.12221
         13.522           9.381          -0.100        -0.25873
         13.008          -8.270          -0.100        -2.63003
         -9.621          12.037          -0.100         4.26658
         -6.620         -12.434          -0.100         5.01113
          9.206           6.887          -0.100        -9.93836
          8.699          -7.996          -0.100      -182.25955
        -11.187          -1.884          -0.100         4.23280
         -2.807           6.948          -0.100         4.92108
          8.704          10.965          -0.100         6.68980
         -3.477          12.058          -0.100         3.50918
         -9.866          13.330          -0.100         2.74374
          1.340           3.515          -0.100        -3.43757
          5.496         -11.223          -0.100        30.32059
          2.587           8.272          -0.100        59.51865
          6.762          -0.758          -0.100         6.75305
        -12.104          13.028          -0.100         1.39394
        -11.971           1.927          -0.100        -9.67085
         -7.695           0.114          -0.100       -51.40951
         -6.775          -3.874          -0.100        67.68305
         -0.535          -5.552          -0.100      -222.11315
         -5.394          13.492          -0.100         3.47231
          0.471          -6.766          -0.100      -106.37379
          2.687           2.421          -0.100       -66.05981
          8.446          -6.675          -0.100        27.20948
         10.252          14.798          -0.100         1.35778
        -12.378         -13.941          -0.100         1.26821
          5.735           0.746          -0.100         7.90596
         14.962          -9.751          -0.100        -1.22718
         -2.650           4.182          -0.100         7.91341
        -12.503          10.971          -0.100         1.04091
        -10.460          -8.033          -0.100         1.66510
         12.177          11.834          -0.100         0.72395
         -1.107          10.104          -0.100         2.05128
         -2.680          -6.935          -0.100        75.33687
          5.245          11.594          -0.100         7.82833
         12.597          -7.447          -0.100        -2.88467
        -10.373          12.282          -0.100         3.02543
          0.326          -1.280          -0.100        11.87253
        -10.460          -8.770          -0.100         3.03320
         -3.674           8.144          -0.100         5.84751
          2.728         -14.404          -0.100         6.67503
         12.866          -1.269          -0.100         0.12647
        -14.124           7.727          -0.100        -1.15326
          2.173         -14.438          -0.100         6.39664
         -1.945           0.300          -0.100       -33.46765
        -11.850           4.823          -0.100        -6.88754
         -7.339          14.132          -0.100         3.07423
         -6.492          10.235          -0.100        15.90253
         -8.434          11.703          -0.100         6.93782
         -0.335          -3.366          -0.100        51.29557
         -7.610           5.788          -0.100       194.48927
          7.973           8.460          -0.100       -84.94711
         -7.719          12.901          -0.100         4.56385
         -9.164           3.411          -0.100       -86.05912
         -6.695           1.158          -0.100      -129.78380
          1.127          -9.325          -0.100        52.51493
        -13.886         -10.509          -0.100         0.85635
          3.355          -5.238          -0.100       -79.76911
          8.672         -10.714          -0.100         7.81446
        -10.693         -12.723          -0.100         2.24595
         -6.770          -4.268          -0.100       113.17111
         -5.456         -13.614          -0.100         3.76572
         -8.536          -1.414          -0.100       113.02460
         -8.279           4.768          -0.100      -154.99380
         10.563          14.271          -0.100         1.35905
         12.127         -12.751          -0.100        -0.34203
          6.548          14.600          -0.100         2.62488
         -0.582         -11.557          -0.100         9.67325
         -9.597          -6.758          -0.100        -6.25809
         11.339          14.381          -0.100         1.06691
         12.487          -8.763          -0.100        -3.20895
