              Y               X               Z     Campo-Total

         -2.129          -1.590           0.000         8.08112
          0.027          -0.945           0.000        14.35122
         -2.899          -2.723           0.000         7.29206
          0.790          -3.171           0.000         7.77360
         -1.497          -3.049           0.000        16.92231
          2.530           3.647           0.000        10.42815
          3.092           1.098           0.000        -2.42221
          1.534          -1.291           0.000       -41.50180
         -0.784           3.908           0.000        10.28885
          1.171           1.686           0.000        44.44922
          1.584           1.963           0.000        30.32037
          0.250           1.751           0.000        61.85875
          1.692           1.570           0.000        25.27469
         -3.505          -2.052           0.000         2.19011
          1.890          -0.275           0.000       -50.91676
         -1.144          -2.449           0.000        24.50509
          0.610           3.548           0.000        19.83730
          0.522          -1.085           0.000       -37.42784
          2.943          -3.602           0.000        -3.00737
         -1.256           1.325           0.000       -18.38268
         -3.079           3.733           0.000        -1.23693
          1.688           1.100           0.000        13.42354
          2.863           3.716           0.000         8.51757
          1.713          -2.397           0.000        -8.59623
         -0.778           1.674           0.000        15.47456
         -2.927           0.480           0.000       -19.74161
          1.546          -1.233           0.000       -44.02543
          1.374          -1.108           0.000       -53.37922
          3.399           1.308           0.000        -0.89385
          1.042          -2.293           0.000        -1.58602
         -2.164          -3.062           0.000        12.14213
         -1.852           1.992           0.000        -7.85548
          1.760           1.703           0.000        24.66835
          1.664          -3.165           0.000        -0.49479
          3.219           3.595           0.000         7.05878
         -3.954          -2.644           0.000         2.58968
         -2.072           3.971           0.000         2.50276
          1.169          -2.741           0.000         1.55955
         -1.935          -0.064           0.000       -37.78408
         -1.122          -1.508           0.000        26.66230
         -0.953           1.409           0.000        -2.64710
         -1.174          -3.268           0.000        16.82347
         -3.726           2.991           0.000        -4.07504
          2.369          -2.376           0.000       -10.98728
          1.345           3.482           0.000        18.54077
          2.831           0.883           0.000        -5.28038
          2.489           1.992           0.000        12.06999
          2.686           2.758           0.000        11.30133
          3.187           1.550           0.000         2.02116
         -1.417          -0.370           0.000       -40.82520
         -2.749          -1.128           0.000        -3.44605
          3.802          -3.507           0.000        -3.68491
         -1.742          -0.394           0.000       -30.99619
         -3.819           2.208           0.000        -6.79955
          1.169           3.530           0.000        18.85424
          0.187           0.398           0.000       -86.89785
         -2.611           3.182           0.000        -1.75384
         -0.269           0.918           0.000        46.82667
         -2.338          -3.738           0.000         9.15381
