              Y               X               Z     Campo-Total

         -2.129          -1.590           0.000        -6.75974
          0.027          -0.945           0.000       106.27712
         -2.899          -2.723           0.000        -6.21414
          0.790          -3.171           0.000        -7.63514
         -1.497          -3.049           0.000        -7.45782
          2.530           3.647           0.000        -5.15910
          3.092           1.098           0.000        -7.62070
          1.534          -1.291           0.000         3.43642
         -0.784           3.908           0.000        -6.19422
          1.171           1.686           0.000         2.03512
          1.584           1.963           0.000        -5.82597
          0.250           1.751           0.000        12.73532
          1.692           1.570           0.000        -3.32681
         -3.505          -2.052           0.000        -6.01479
          1.890          -0.275           0.000         6.63638
         -1.144          -2.449           0.000        -6.98965
          0.610           3.548           0.000        -7.07373
          0.522          -1.085           0.000        61.96622
          2.943          -3.602           0.000        -4.71354
         -1.256           1.325           0.000        10.06471
         -3.079           3.733           0.000        -4.34898
          1.688           1.100           0.000         3.12213
          2.863           3.716           0.000        -4.63344
          1.713          -2.397           0.000        -7.66501
         -0.778           1.674           0.000         9.20413
         -2.927           0.480           0.000        -7.68723
          1.546          -1.233           0.000         4.28633
          1.374          -1.108           0.000        12.87755
          3.399           1.308           0.000        -6.98513
          1.042          -2.293           0.000        -5.79523
         -2.164          -3.062           0.000        -6.74497
         -1.852           1.992           0.000        -7.06572
          1.760           1.703           0.000        -5.13379
          1.664          -3.165           0.000        -7.12494
          3.219           3.595           0.000        -4.37410
         -3.954          -2.644           0.000        -4.50581
         -2.072           3.971           0.000        -5.07163
          1.169          -2.741           0.000        -7.70071
         -1.935          -0.064           0.000         5.68595
         -1.122          -1.508           0.000         7.78644
         -0.953           1.409           0.000        16.28951
         -1.174          -3.268           0.000        -7.32535
         -3.726           2.991           0.000        -4.46403
          2.369          -2.376           0.000        -7.52208
          1.345           3.482           0.000        -6.78484
          2.831           0.883           0.000        -7.68710
          2.489           1.992           0.000        -7.70810
          2.686           2.758           0.000        -6.51355
          3.187           1.550           0.000        -7.18981
         -1.417          -0.370           0.000        32.99899
         -2.749          -1.128           0.000        -7.69285
          3.802          -3.507           0.000        -3.76835
         -1.742          -0.394           0.000        11.87062
         -3.819           2.208           0.000        -5.21845
          1.169           3.530           0.000        -6.81522
          0.187           0.398           0.000       550.24794
         -2.611           3.182           0.000        -5.88855
         -0.269           0.918           0.000       103.96330
         -2.338          -3.738           0.000        -5.22351
         -3.188           3.374           0.000        -4.73250
         -2.987          -1.711           0.000        -7.38040
         -0.979           1.043           0.000        36.08227
         -1.651           2.698           0.000        -7.72338
          3.211           1.618           0.000        -7.08301
          2.744           2.787           0.000        -6.37162
         -3.261          -1.493           0.000        -7.10313
         -0.790          -2.739           0.000        -7.49444
         -3.128          -2.095           0.000        -6.71015
         -2.668          -2.004           0.000        -7.54873
         -2.743          -1.648           0.000        -7.69982
          0.669          -1.977           0.000         1.11736
         -2.136          -3.375           0.000        -6.17489
         -1.448          -3.265           0.000        -7.13300
          1.468          -3.331           0.000        -6.98893
         -2.381          -2.816           0.000        -6.88593
         -3.050           3.293           0.000        -5.05136
         -2.591           0.318           0.000        -6.47916
          0.621          -3.811           0.000        -6.48698
          0.318           1.456           0.000        30.78396
          0.309          -0.633           0.000       199.42377
          2.710           3.565           0.000        -5.07457
          3.934           1.131           0.000        -5.94030
          1.424           1.397           0.000         3.73764
          2.897           0.177           0.000        -7.60072
          1.756          -0.864           0.000         4.96568
          0.288          -0.590           0.000       249.76305
          0.215          -2.328           0.000        -3.76134
         -3.625           2.645           0.000        -5.05449
          1.612          -0.078           0.000        21.59383
         -1.471           0.596           0.000        23.44503
          3.132          -0.419           0.000        -7.72519
          3.683           0.012           0.000        -6.89452
         -3.183           0.373           0.000        -7.69612
          0.107          -3.965           0.000        -6.23900
          1.621           1.185           0.000         3.34438
          1.299          -0.437           0.000        41.98435
         -2.808           0.896           0.000        -7.66672
         -1.948          -2.553           0.000        -7.69054
         -0.368          -1.210           0.000        53.95593
         -3.055           0.633           0.000        -7.74110
         -2.924           3.234           0.000        -5.33138
         -0.508          -0.540           0.000       173.71035
         -1.399          -2.739           0.000        -7.74544
         -1.433           1.732           0.000        -2.34476
         -3.867           2.100           0.000        -5.24249
          1.797          -2.631           0.000        -7.70942
          2.923           3.223           0.000        -5.35063
          3.905          -2.387           0.000        -4.86549
         -3.878          -0.364           0.000        -6.40807
          0.050           0.442           0.000       547.20188
         -0.790           0.404           0.000       119.82621
          1.570           1.350           0.000         1.53406
         -1.117           1.187           0.000        20.54299
         -2.437          -2.469           0.000        -7.33267
         -3.969           3.002           0.000        -4.09810
          1.186          -1.453           0.000         7.96617
         -0.556           3.677           0.000        -6.81609
          0.185          -0.124           0.000       602.63707
         -1.255          -1.053           0.000        20.06481
         -1.528           2.464           0.000        -7.59613
          2.069          -1.128           0.000        -4.01849
          0.485           1.028           0.000        71.75359
          1.213          -2.187           0.000        -5.63845
         -0.046          -1.320           0.000        47.32197
          1.988          -0.423           0.000         2.60727
          1.922          -1.045           0.000        -1.18856
         -0.703           0.354           0.000       151.08186
          0.299          -3.336           0.000        -7.53013
          3.555           0.745           0.000        -7.00630
          3.842          -3.393           0.000        -3.84329
         -1.527           3.390           0.000        -6.81722
          0.178          -1.332           0.000        44.77579
         -1.049          -2.552           0.000        -7.22078
          3.721          -0.360           0.000        -6.77004
         -3.327          -2.449           0.000        -5.85235
         -1.891           2.396           0.000        -7.74173
         -3.569          -2.957           0.000        -4.74723
          1.762           1.459           0.000        -3.00370
         -0.780          -3.651           0.000        -6.78309
         -1.905          -3.259           0.000        -6.68784
          2.079           0.151           0.000         1.19876
          0.355           2.503           0.000        -5.87371
          0.697          -0.995           0.000        60.44285
          0.353          -2.461           0.000        -5.49928
          0.518          -1.618           0.000        16.38224
         -0.088           1.648           0.000        19.29229
         -3.029           3.988           0.000        -4.04441
         -0.768           3.253           0.000        -7.54034
         -3.060          -1.314           0.000        -7.55767
          2.274           0.981           0.000        -5.41253
          0.240           0.384           0.000       542.04157
         -0.599           1.587           0.000        16.58276
         -1.245           3.687           0.000        -6.41630
          0.282           1.590           0.000        21.57985
         -1.466           0.940           0.000        14.11842
          0.561           1.473           0.000        24.19039
         -0.082           0.342           0.000       583.68800
         -3.603          -0.942           0.000        -6.80204
         -1.170           2.781           0.000        -7.72778
         -2.524          -0.654           0.000        -6.46183
         -1.475          -0.455           0.000        26.58226
          3.605          -3.892           0.000        -3.56095
         -0.542           1.365           0.000        32.69797
         -1.130          -1.607           0.000         4.71476
          1.549           2.328           0.000        -7.34754
         -0.890           1.121           0.000        35.99768
         -0.773          -3.742           0.000        -6.58156
         -0.259           3.672           0.000        -6.89936
          2.714          -2.959           0.000        -6.12480
         -0.489          -0.215           0.000       460.31410
         -2.475          -2.170           0.000        -7.60845
          2.513           1.341           0.000        -7.48995
         -2.384          -3.589           0.000        -5.44654
          0.103           0.391           0.000       567.30627
          2.397           1.408           0.000        -7.29500
          3.531           1.730           0.000        -6.32075
          1.362           0.214           0.000        41.13877
          1.447           0.030           0.000        34.51887
          3.173           1.489           0.000        -7.26579
         -0.489          -2.325           0.000        -4.27637
          3.910           2.884           0.000        -4.31249
         -0.015          -2.801           0.000        -7.36160
         -3.592          -0.447           0.000        -7.03203
         -3.722          -1.040           0.000        -6.47916
          3.481           0.710           0.000        -7.17138
          1.719           2.353           0.000        -7.61972
          2.089           0.193           0.000         0.84112
          0.306           3.305           0.000        -7.57249
         -3.295           0.919           0.000        -7.41864
         -0.989          -0.433           0.000        81.01698
          2.785           0.902           0.000        -7.64028
         -2.216          -0.500           0.000        -2.75098
         -3.089          -0.032           0.000        -7.74562
          1.518          -1.195           0.000         5.84899
         -3.797          -1.842           0.000        -5.64652
         -2.609          -1.523           0.000        -7.72964
          1.137           0.991           0.000        29.34829
         -0.380          -1.715           0.000        13.30829
         -2.684           1.176           0.000        -7.64344
          3.770          -2.895           0.000        -4.51061
         -2.100           3.051           0.000        -6.84775
         -2.366          -2.833           0.000        -6.87762
         -2.085           2.951           0.000        -7.04603
         -0.867           3.618           0.000        -6.81243
         -0.176           3.734           0.000        -6.77225
          0.323          -2.581           0.000        -6.41789
         -3.025           2.968           0.000        -5.60599
         -0.385          -2.406           0.000        -4.99185
          2.334          -0.126           0.000        -3.75564
          2.790           1.862           0.000        -7.52284
         -3.149          -3.701           0.000        -4.31116
          0.010          -0.622           0.000       304.31908
         -2.522           3.281           0.000        -5.83632
          0.529          -0.097           0.000       454.61207
         -2.174          -1.960           0.000        -7.63960
         -1.527          -2.793           0.000        -7.71137
         -2.616           0.214           0.000        -6.57287
         -0.691          -1.247           0.000        36.47726
          0.719           0.682           0.000        97.02866
         -3.200           2.372           0.000        -6.20092
         -1.119          -2.645           0.000        -7.54126
         -1.895          -3.285           0.000        -6.64715
          1.402          -2.590           0.000        -7.66348
          0.695           2.009           0.000         0.17872
         -0.413           0.019           0.000       563.37569
          3.166           3.891           0.000        -4.02861
          1.860          -2.510           0.000        -7.73978
         -3.249           1.623           0.000        -7.00540
         -3.165           3.457           0.000        -4.64254
         -3.920           3.393           0.000        -3.74960
          0.221          -0.331           0.000       569.68430
          1.125           3.025           0.000        -7.67668
          0.411           1.671           0.000        15.21785
          0.408           1.124           0.000        63.10875
          0.582           0.636           0.000       126.28902
         -0.509           0.565           0.000       163.32047
          1.235           0.797           0.000        32.52629
         -1.434          -0.237           0.000        33.99556
          1.229           1.112           0.000        18.81966
          1.299           3.387           0.000        -7.01558
         -1.305          -3.530           0.000        -6.71451
         -3.419          -2.132           0.000        -6.09132
          3.034           0.581           0.000        -7.74563
         -0.954           1.724           0.000         4.51157
          1.689          -2.214           0.000        -7.30847
         -3.035          -1.763           0.000        -7.25652
         -2.209           2.298           0.000        -7.70897
         -3.667          -3.145           0.000        -4.36426
         -2.632          -1.866           0.000        -7.67728
         -0.494          -2.592           0.000        -6.65397
         -0.296          -2.666           0.000        -6.88821
          3.050           0.034           0.000        -7.74134
         -1.168           2.082           0.000        -4.41476
         -0.270           0.357           0.000       545.56811
          3.323          -2.926           0.000        -5.18135
         -0.918          -1.703           0.000         5.73789
         -0.527           0.572           0.000       155.29667
          1.207          -2.454           0.000        -7.12702
         -0.447           2.000           0.000         2.13051
          1.728          -3.254           0.000        -6.89086
          3.890           0.315           0.000        -6.38955
         -2.374          -3.748           0.000        -5.16182
          0.332           0.996           0.000        86.04875
          3.503           1.304           0.000        -6.77219
         -0.984          -0.840           0.000        50.47553
          2.104          -0.350           0.000        -0.00675
         -3.149           0.661           0.000        -7.68505
         -1.767           2.977           0.000        -7.34605
          2.060           0.054           0.000         1.81970
          3.268           0.061           0.000        -7.63477
         -1.801           3.531           0.000        -6.24687
          2.547          -1.670           0.000        -7.73985
          1.270          -2.544           0.000        -7.47831
         -2.436           0.786           0.000        -6.12640
          1.177          -2.191           0.000        -5.50823
         -3.906           1.722           0.000        -5.53671
         -2.337           2.758           0.000        -7.04150
         -3.277           0.283           0.000        -7.61052
          1.212           2.819           0.000        -7.74478
         -2.659          -1.899           0.000        -7.63647
          2.519          -1.554           0.000        -7.68079
         -3.657          -0.701           0.000        -6.80433
          3.158          -2.018           0.000        -6.75000
          1.708           0.835           0.000         6.96219
          1.408           0.001           0.000        38.20822
          0.609           0.529           0.000       143.70414
         -0.169           1.157           0.000        66.86894
         -0.544          -2.834           0.000        -7.56934
          1.882          -1.552           0.000        -5.02239
          2.005           0.231           0.000         3.01376
         -1.868          -2.982           0.000        -7.23933
         -3.052          -3.814           0.000        -4.26324
         -1.596          -2.901           0.000        -7.58373
         -2.282           0.126           0.000        -2.96688
          3.667          -3.895           0.000        -3.49319
          2.160           0.503           0.000        -1.78042
          1.402          -3.055           0.000        -7.51289
          3.969          -2.656           0.000        -4.46784
         -2.390          -2.071           0.000        -7.72407
         -1.957          -2.923           0.000        -7.24032
          1.182          -0.725           0.000        40.36719
          3.956           3.321           0.000        -3.77961
         -1.189          -0.554           0.000        48.29991
         -2.405           2.422           0.000        -7.43071
          3.738           0.687           0.000        -6.62753
         -1.166           3.069           0.000        -7.61832
         -1.716          -1.334           0.000        -0.89533
          0.379          -2.899           0.000        -7.63469
         -2.995           2.462           0.000        -6.44970
         -2.638          -2.767           0.000        -6.57699
          2.932          -1.293           0.000        -7.69589
         -3.460          -2.253           0.000        -5.85718
          0.107          -0.570           0.000       379.53399
          3.395           3.890           0.000        -3.78310
         -1.320          -3.832           0.000        -6.03612
          1.684           3.502           0.000        -6.42865
         -2.943          -2.998           0.000        -5.69034
          3.360          -2.645           0.000        -5.51941
         -1.345          -1.454           0.000         4.19020
         -1.716           1.245           0.000         0.31708
         -0.189          -3.505           0.000        -7.25485
         -0.457          -0.181           0.000       511.58049
          1.044          -1.222           0.000        22.03012
          1.190          -0.917           0.000        29.77700
         -1.835          -1.413           0.000        -3.44656
         -1.152           2.735           0.000        -7.68930
         -1.399           0.020           0.000        39.03400
          1.147          -1.758           0.000         0.80155
         -2.153           2.174           0.000        -7.74335
         -3.393          -2.177           0.000        -6.08771
         -1.677           2.829           0.000        -7.61143
         -2.764          -3.390           0.000        -5.29985
