# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.54831 -15.49831 0.00000 0.00000 -458.62510 308.62510 -13.08388
-51.54068 -15.49831 0.00000 847.44915 -457.02828 307.02828 145.60680
-51.53305 -15.49831 0.00000 1694.89831 -455.55405 305.55405 176.15020
-51.52542 -15.49831 0.00000 2542.34746 -454.16115 304.16115 105.02468
-51.51780 -15.49831 0.00000 3389.79661 -452.81020 302.81020 -11.45433
-51.51017 -15.49831 0.00000 4237.24576 -451.45950 301.45950 -87.60056
-51.50254 -15.49831 0.00000 5084.69492 -450.03647 300.03647 -58.23488
-51.49492 -15.49831 0.00000 5932.14407 -449.11747 299.11747 -6.12226
-51.48729 -15.49831 0.00000 6779.59322 -448.53276 298.53276 0.92765
-51.47966 -15.49831 0.00000 7627.04237 -448.03583 298.03583 -91.68057
-51.47203 -15.49831 0.00000 8474.49153 -447.60928 297.60928 -172.44173
-51.46441 -15.49831 0.00000 9321.94068 -447.23324 297.23324 -158.02660
-51.45678 -15.49831 0.00000 10169.38983 -446.89037 296.89037 -63.30449
-51.44915 -15.49831 0.00000 11016.83898 -446.56499 296.56499 -8.45275
-51.44153 -15.49831 0.00000 11864.28814 -446.24211 296.24211 8.33107
-51.43390 -15.49831 0.00000 12711.73729 -445.90628 295.90628 60.79091
-51.42627 -15.49831 0.00000 13559.18644 -445.54062 295.54062 141.77046
-51.41864 -15.49831 0.00000 14406.63559 -445.13087 295.13087 182.83081
-51.41102 -15.49831 0.00000 15254.08475 -445.30156 295.30156 56.70096
-51.40339 -15.49831 0.00000 16101.53390 -445.62528 295.62528 -0.63328
-51.39576 -15.49831 0.00000 16948.98305 -445.89772 295.89772 -28.24332
-51.38814 -15.49831 0.00000 17796.43220 -446.14352 296.14352 -52.02288
-51.38051 -15.49831 0.00000 18643.88136 -446.38491 296.38491 -78.77137
-51.37288 -15.49831 0.00000 19491.33051 -446.64288 296.64288 -94.21559
-51.36525 -15.49831 0.00000 20338.77966 -446.93867 296.93867 -113.30158
-51.35763 -15.49831 0.00000 21186.22881 -447.29525 297.29525 -135.18389
-51.35000 -15.49831 0.00000 22033.67797 -447.73878 297.73878 -182.97781
-51.54831 -15.49322 564.96610 0.00000 -458.27194 308.27194 -88.31470
-51.54068 -15.49322 564.96610 847.44915 -456.66511 306.66511 35.15200
-51.53305 -15.49322 564.96610 1694.89831 -455.16481 305.16481 204.90909
-51.52542 -15.49322 564.96610 2542.34746 -453.73158 303.73158 233.79580
-51.51780 -15.49322 564.96610 3389.79661 -452.31982 302.31982 96.80641
-51.51017 -15.49322 564.96610 4237.24576 -450.85314 300.85314 -66.05479
-51.50254 -15.49322 564.96610 5084.69492 -449.29440 299.29440 -75.89003
-51.49492 -15.49322 564.96610 5932.14407 -448.41583 298.41583 -25.32089
-51.48729 -15.49322 564.96610 6779.59322 -448.00470 298.00470 14.92937
-51.47966 -15.49322 564.96610 7627.04237 -447.55421 297.55421 -33.14259
-51.47203 -15.49322 564.96610 8474.49153 -447.14239 297.14239 -126.29725
-51.46441 -15.49322 564.96610 9321.94068 -446.77017 296.77017 -179.90921
-51.45678 -15.49322 564.96610 10169.38983 -446.42626 296.42626 -76.88961
-51.44915 -15.49322 564.96610 11016.83898 -446.09756 296.09756 -5.24014
-51.44153 -15.49322 564.96610 11864.28814 -445.77062 295.77062 -1.33421
-51.43390 -15.49322 564.96610 12711.73729 -445.43195 295.43195 47.26036
-51.42627 -15.49322 564.96610 13559.18644 -445.07085 295.07085 141.38182
-51.41864 -15.49322 564.96610 14406.63559 -444.76068 294.76068 208.22329
-51.41102 -15.49322 564.96610 15254.08475 -444.83869 294.83869 136.57669
-51.40339 -15.49322 564.96610 16101.53390 -445.14651 295.14651 21.56720
-51.39576 -15.49322 564.96610 16948.98305 -445.42252 295.42252 -28.01432
-51.38814 -15.49322 564.96610 17796.43220 -445.67459 295.67459 -33.37849
-51.38051 -15.49322 564.96610 18643.88136 -445.92171 295.92171 -25.88551
-51.37288 -15.49322 564.96610 19491.33051 -446.18298 296.18298 -16.60976
-51.36525 -15.49322 564.96610 20338.77966 -446.47705 296.47705 -40.12462
-51.35763 -15.49322 564.96610 21186.22881 -446.82159 296.82159 -56.41629
-51.35000 -15.49322 564.96610 22033.67797 -447.22769 297.22769 -47.38877
-51.54831 -15.48814 1129.93220 0.00000 -457.55338 307.55338 -99.22428
-51.54068 -15.48814 1129.93220 847.44915 -455.98279 305.98279 -27.80222
-51.53305 -15.48814 1129.93220 1694.89831 -454.48054 304.48054 82.69282
-51.52542 -15.48814 1129.93220 2542.34746 -453.01098 303.01098 142.32574
-51.51780 -15.48814 1129.93220 3389.79661 -451.51165 301.51165 123.68483
-51.51017 -15.48814 1129.93220 4237.24576 -449.94431 299.94431 56.53320
-51.50254 -15.48814 1129.93220 5084.69492 -448.58401 298.58401 0.75271
-51.49492 -15.48814 1129.93220 5932.14407 -447.71098 297.71098 -7.68643
-51.48729 -15.48814 1129.93220 6779.59322 -447.29319 297.29319 39.84509
-51.47966 -15.48814 1129.93220 7627.04237 -446.95135 296.95135 30.33050
-51.47203 -15.48814 1129.93220 8474.49153 -446.59084 296.59084 -30.78027
-51.46441 -15.48814 1129.93220 9321.94068 -446.24336 296.24336 -85.29245
-51.45678 -15.48814 1129.93220 10169.38983 -445.91259 295.91259 -37.34988
-51.44915 -15.48814 1129.93220 11016.83898 -445.59156 295.59156 8.45283
-51.44153 -15.48814 1129.93220 11864.28814 -445.27053 295.27053 -26.39496
-51.43390 -15.48814 1129.93220 12711.73729 -444.94053 294.94053 -44.81712
-51.42627 -15.48814 1129.93220 13559.18644 -444.60443 294.60443 7.27671
-51.41864 -15.48814 1129.93220 14406.63559 -444.38779 294.38779 112.02578
-51.41102 -15.48814 1129.93220 15254.08475 -444.40875 294.40875 59.04563
-51.40339 -15.48814 1129.93220 16101.53390 -444.64373 294.64373 -17.11178
-51.39576 -15.48814 1129.93220 16948.98305 -444.90514 294.90514 -57.61046
-51.38814 -15.48814 1129.93220 17796.43220 -445.15080 295.15080 0.52980
-51.38051 -15.48814 1129.93220 18643.88136 -445.39008 295.39008 117.47941
-51.37288 -15.48814 1129.93220 19491.33051 -445.63766 295.63766 90.02091
-51.36525 -15.48814 1129.93220 20338.77966 -445.90615 295.90615 -37.93475
-51.35763 -15.48814 1129.93220 21186.22881 -446.20019 296.20019 -62.15354
-51.35000 -15.48814 1129.93220 22033.67797 -446.49312 296.49312 -20.06488
-51.54831 -15.48305 1694.89831 0.00000 -456.41356 306.41356 -105.30704
-51.54068 -15.48305 1694.89831 847.44915 -454.93400 304.93400 -78.31831
-51.53305 -15.48305 1694.89831 1694.89831 -453.45595 303.45595 -20.05489
