# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.80000 -15.60000 0.00000 0.00000 -443.76438 293.76438 -56.93340
-51.79237 -15.60000 0.00000 847.44915 -442.20502 292.20502 -68.11463
-51.78475 -15.60000 0.00000 1694.89831 -440.64065 290.64065 -67.06130
-51.77712 -15.60000 0.00000 2542.34746 -439.07852 289.07852 -70.11082
-51.76949 -15.60000 0.00000 3389.79661 -437.51656 287.51656 -80.50094
-51.76186 -15.60000 0.00000 4237.24576 -435.95461 285.95461 -90.28999
-51.75424 -15.60000 0.00000 5084.69492 -434.98538 284.98538 -95.45244
-51.74661 -15.60000 0.00000 5932.14407 -435.08036 285.08036 -111.75347
-51.73898 -15.60000 0.00000 6779.59322 -436.22259 286.22259 -78.78354
-51.73136 -15.60000 0.00000 7627.04237 -438.08037 288.08037 -61.21050
-51.72373 -15.60000 0.00000 8474.49153 -439.94397 289.94397 -74.20894
-51.71610 -15.60000 0.00000 9321.94068 -441.80757 291.80757 -99.18660
-51.70847 -15.60000 0.00000 10169.38983 -443.67148 293.67148 -96.49168
-51.70085 -15.60000 0.00000 11016.83898 -445.53477 295.53477 -86.84214
-51.69322 -15.60000 0.00000 11864.28814 -447.39837 297.39837 -79.13890
-51.68559 -15.60000 0.00000 12711.73729 -449.26196 299.26196 -77.30334
-51.67797 -15.60000 0.00000 13559.18644 -451.12324 301.12324 -70.96339
-51.67034 -15.60000 0.00000 14406.63559 -452.30777 302.30777 -51.91695
-51.66271 -15.60000 0.00000 15254.08475 -452.44560 302.44560 -33.63906
-51.65508 -15.60000 0.00000 16101.53390 -451.53080 301.53080 -3.42856
-51.64746 -15.60000 0.00000 16948.98305 -449.98954 299.98954 -2.05208
-51.63983 -15.60000 0.00000 17796.43220 -448.44815 298.44815 -28.87364
-51.63220 -15.60000 0.00000 18643.88136 -446.90679 296.90679 -81.64480
-51.62458 -15.60000 0.00000 19491.33051 -445.36632 295.36632 -149.25069
-51.61695 -15.60000 0.00000 20338.77966 -443.82397 293.82397 -128.82765
-51.60932 -15.60000 0.00000 21186.22881 -442.28257 292.28257 -43.14476
-51.60169 -15.60000 0.00000 22033.67797 -440.74117 290.74117 97.66687
-51.59407 -15.60000 0.00000 22881.12712 -439.20849 289.20849 112.28807
-51.58644 -15.60000 0.00000 23728.57627 -438.28945 288.28945 -95.13883
-51.57881 -15.60000 0.00000 24576.02542 -438.22680 288.22680 -182.86729
-51.57119 -15.60000 0.00000 25423.47458 -439.04234 289.04234 -166.42899
-51.56356 -15.60000 0.00000 26270.92373 -440.31336 290.31336 -129.13681
-51.55593 -15.60000 0.00000 27118.37288 -441.58438 291.58438 -63.26216
-51.54831 -15.60000 0.00000 27965.82203 -442.85562 292.85562 25.26726
-51.54068 -15.60000 0.00000 28813.27119 -444.12832 294.12832 101.39520
-51.53305 -15.60000 0.00000 29660.72034 -445.39744 295.39744 83.99346
-51.52542 -15.60000 0.00000 30508.16949 -446.66846 296.66846 72.68483
-51.51780 -15.60000 0.00000 31355.61864 -447.93948 297.93948 73.73398
-51.51017 -15.60000 0.00000 32203.06780 -449.20838 299.20838 64.62296
-51.50254 -15.60000 0.00000 33050.51695 -450.41481 300.41481 29.10742
-51.49492 -15.60000 0.00000 33897.96610 -451.54233 301.54233 7.86594
-51.48729 -15.60000 0.00000 34745.41525 -452.58789 302.58789 48.42715
-51.47966 -15.60000 0.00000 35592.86441 -453.59751 303.59751 76.87774
-51.47203 -15.60000 0.00000 36440.31356 -454.60713 304.60713 72.18511
-51.46441 -15.60000 0.00000 37287.76271 -455.61702 305.61702 30.75420
-51.45678 -15.60000 0.00000 38135.21186 -456.62779 306.62779 -33.99341
-51.44915 -15.60000 0.00000 38982.66102 -457.63598 307.63598 -56.01919
-51.44153 -15.60000 0.00000 39830.11017 -458.64560 308.64560 -98.66498
-51.43390 -15.60000 0.00000 40677.55932 -459.65521 309.65521 -53.88984
-51.42627 -15.60000 0.00000 41525.00847 -460.62967 310.62967 -71.46767
-51.41864 -15.60000 0.00000 42372.45763 -461.01340 311.01340 -257.10651
-51.41102 -15.60000 0.00000 43219.90678 -460.70716 310.70716 -189.82532
-51.40339 -15.60000 0.00000 44067.35593 -459.68104 309.68104 -109.35589
-51.39576 -15.60000 0.00000 44914.80508 -458.39130 308.39130 -83.50007
-51.38814 -15.60000 0.00000 45762.25424 -457.10155 307.10155 -72.88005
-51.38051 -15.60000 0.00000 46609.70339 -455.81251 305.81251 -58.28423
-51.37288 -15.60000 0.00000 47457.15254 -454.52397 304.52397 -57.75448
-51.36525 -15.60000 0.00000 48304.60169 -453.23232 303.23232 -51.89057
-51.35763 -15.60000 0.00000 49152.05085 -451.94257 301.94257 -50.28575
-51.35000 -15.60000 0.00000 49999.50000 -450.65283 300.65283 -47.12427
-51.80000 -15.59492 564.96610 0.00000 -441.26037 291.26037 -65.39439
-51.79237 -15.59492 564.96610 847.44915 -439.85552 289.85552 -73.20885
-51.78475 -15.59492 564.96610 1694.89831 -438.37729 288.37729 -74.12255
-51.77712 -15.59492 564.96610 2542.34746 -436.84443 286.84443 -81.21433
-51.76949 -15.59492 564.96610 3389.79661 -435.30527 285.30527 -84.07517
-51.76186 -15.59492 564.96610 4237.24576 -433.85247 283.85247 -90.54154
-51.75424 -15.59492 564.96610 5084.69492 -432.73085 282.73085 -107.19901
-51.74661 -15.59492 564.96610 5932.14407 -432.93919 282.93919 -120.47647
-51.73898 -15.59492 564.96610 6779.59322 -434.51060 284.51060 -113.93609
-51.73136 -15.59492 564.96610 7627.04237 -436.51841 286.51841 -88.56065
-51.72373 -15.59492 564.96610 8474.49153 -438.55710 288.55710 -95.55842
-51.71610 -15.59492 564.96610 9321.94068 -440.57025 290.57025 -124.52722
-51.70847 -15.59492 564.96610 10169.38983 -442.55428 292.55428 -112.21623
-51.70085 -15.59492 564.96610 11016.83898 -444.52926 294.52926 -92.48058
-51.69322 -15.59492 564.96610 11864.28814 -446.51798 296.51798 -87.30089
-51.68559 -15.59492 564.96610 12711.73729 -448.53045 298.53045 -93.31910
-51.67797 -15.59492 564.96610 13559.18644 -450.53623 300.53623 -97.27507
-51.67034 -15.59492 564.96610 14406.63559 -452.13080 302.13080 -87.50437
-51.66271 -15.59492 564.96610 15254.08475 -452.32286 302.32286 -69.21571
-51.65508 -15.59492 564.96610 16101.53390 -451.12774 301.12774 -41.91358
-51.64746 -15.59492 564.96610 16948.98305 -449.57137 299.57137 4.73799
-51.63983 -15.59492 564.96610 17796.43220 -448.02327 298.02327 -11.09390
-51.63220 -15.59492 564.96610 18643.88136 -446.50492 296.50492 -87.46937
-51.62458 -15.59492 564.96610 19491.33051 -444.99371 294.99371 -129.50304
-51.61695 -15.59492 564.96610 20338.77966 -443.45749 293.45749 -135.39332
-51.60932 -15.59492 564.96610 21186.22881 -441.87176 291.87176 -88.88008
-51.60169 -15.59492 564.96610 22033.67797 -440.25220 290.25220 29.93080
-51.59407 -15.59492 564.96610 22881.12712 -438.69114 288.69114 82.76104
-51.58644 -15.59492 564.96610 23728.57627 -437.51813 287.51813 -35.31240
-51.57881 -15.59492 564.96610 24576.02542 -437.45962 287.45962 -155.17615
-51.57119 -15.59492 564.96610 25423.47458 -438.47349 288.47349 -156.15673
-51.56356 -15.59492 564.96610 26270.92373 -439.73850 289.73850 -122.49553
-51.55593 -15.59492 564.96610 27118.37288 -441.08148 291.08148 -73.39324
-51.54831 -15.59492 564.96610 27965.82203 -442.39189 292.39189 -17.91056
-51.54068 -15.59492 564.96610 28813.27119 -443.64184 293.64184 33.90071
-51.53305 -15.59492 564.96610 29660.72034 -444.83910 294.83910 35.17914
-51.52542 -15.59492 564.96610 30508.16949 -446.00647 296.00647 57.98959
-51.51780 -15.59492 564.96610 31355.61864 -447.18947 297.18947 120.67111
-51.51017 -15.59492 564.96610 32203.06780 -448.43211 298.43211 162.05706
