# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.74661 -15.60000 0.00000 0.00000 -435.08036 285.08036 -111.75347
-51.73898 -15.60000 0.00000 847.44915 -436.22259 286.22259 -78.78354
-51.73136 -15.60000 0.00000 1694.89831 -438.08037 288.08037 -61.21050
-51.72373 -15.60000 0.00000 2542.34746 -439.94397 289.94397 -74.20894
-51.71610 -15.60000 0.00000 3389.79661 -441.80757 291.80757 -99.18660
-51.70847 -15.60000 0.00000 4237.24576 -443.67148 293.67148 -96.49168
-51.70085 -15.60000 0.00000 5084.69492 -445.53477 295.53477 -86.84214
-51.69322 -15.60000 0.00000 5932.14407 -447.39837 297.39837 -79.13890
-51.68559 -15.60000 0.00000 6779.59322 -449.26196 299.26196 -77.30334
-51.67797 -15.60000 0.00000 7627.04237 -451.12324 301.12324 -70.96339
-51.67034 -15.60000 0.00000 8474.49153 -452.30777 302.30777 -51.91695
-51.66271 -15.60000 0.00000 9321.94068 -452.44560 302.44560 -33.63906
-51.65508 -15.60000 0.00000 10169.38983 -451.53080 301.53080 -3.42856
-51.64746 -15.60000 0.00000 11016.83898 -449.98954 299.98954 -2.05208
-51.63983 -15.60000 0.00000 11864.28814 -448.44815 298.44815 -28.87364
-51.63220 -15.60000 0.00000 12711.73729 -446.90679 296.90679 -81.64480
-51.62458 -15.60000 0.00000 13559.18644 -445.36632 295.36632 -149.25069
-51.61695 -15.60000 0.00000 14406.63559 -443.82397 293.82397 -128.82765
-51.60932 -15.60000 0.00000 15254.08475 -442.28257 292.28257 -43.14476
-51.60169 -15.60000 0.00000 16101.53390 -440.74117 290.74117 97.66687
-51.59407 -15.60000 0.00000 16948.98305 -439.20849 289.20849 112.28807
-51.58644 -15.60000 0.00000 17796.43220 -438.28945 288.28945 -95.13883
-51.57881 -15.60000 0.00000 18643.88136 -438.22680 288.22680 -182.86729
-51.57119 -15.60000 0.00000 19491.33051 -439.04234 289.04234 -166.42899
-51.56356 -15.60000 0.00000 20338.77966 -440.31336 290.31336 -129.13681
-51.55593 -15.60000 0.00000 21186.22881 -441.58438 291.58438 -63.26216
-51.74661 -15.59492 564.96610 0.00000 -432.93919 282.93919 -120.47647
-51.73898 -15.59492 564.96610 847.44915 -434.51060 284.51060 -113.93609
-51.73136 -15.59492 564.96610 1694.89831 -436.51841 286.51841 -88.56065
-51.72373 -15.59492 564.96610 2542.34746 -438.55710 288.55710 -95.55842
-51.71610 -15.59492 564.96610 3389.79661 -440.57025 290.57025 -124.52722
-51.70847 -15.59492 564.96610 4237.24576 -442.55428 292.55428 -112.21623
-51.70085 -15.59492 564.96610 5084.69492 -444.52926 294.52926 -92.48058
-51.69322 -15.59492 564.96610 5932.14407 -446.51798 296.51798 -87.30089
-51.68559 -15.59492 564.96610 6779.59322 -448.53045 298.53045 -93.31910
-51.67797 -15.59492 564.96610 7627.04237 -450.53623 300.53623 -97.27507
-51.67034 -15.59492 564.96610 8474.49153 -452.13080 302.13080 -87.50437
-51.66271 -15.59492 564.96610 9321.94068 -452.32286 302.32286 -69.21571
-51.65508 -15.59492 564.96610 10169.38983 -451.12774 301.12774 -41.91358
-51.64746 -15.59492 564.96610 11016.83898 -449.57137 299.57137 4.73799
-51.63983 -15.59492 564.96610 11864.28814 -448.02327 298.02327 -11.09390
